Date,Open,High,Low,Close,Adj Close,Volume
2017-11-24,26.719999,27.000000,26.719999,26.879999,26.879999,880700
2017-11-27,26.870001,26.930000,26.690001,26.690001,26.690001,3106000
2017-11-28,26.700001,26.780001,26.410000,26.549999,26.549999,2566600
2017-11-29,26.540001,26.950001,26.379999,26.900000,26.900000,3358000
2017-11-30,26.830000,26.850000,26.299999,26.440001,26.440001,5115100
2017-12-01,26.540001,26.770000,26.480000,26.660000,26.660000,3453800
2017-12-04,26.670000,26.790001,26.379999,26.400000,26.400000,3283500
2017-12-05,26.790001,26.959999,26.540001,26.559999,26.559999,3769800
2017-12-06,26.629999,26.650000,26.389999,26.610001,26.610001,1934900
2017-12-07,26.549999,26.850000,26.510000,26.770000,26.770000,2283100
2017-12-08,26.809999,27.040001,26.680000,26.780001,26.780001,2763700
2017-12-11,26.730000,26.830000,26.690001,26.719999,26.719999,3070900
2017-12-12,26.770000,27.299999,26.700001,27.139999,27.139999,6450500
2017-12-13,27.230000,27.430000,26.920000,26.969999,26.969999,5779300
2017-12-14,26.930000,27.080000,26.799999,26.809999,26.809999,3960400
2017-12-15,26.900000,27.240000,26.820000,26.830000,26.830000,9652900
2017-12-18,26.940001,27.299999,26.910000,26.980000,26.980000,4185900
2017-12-19,27.000000,27.000000,25.990000,26.100000,26.100000,5205500
2017-12-20,26.049999,26.219999,25.820000,25.840000,25.840000,4922200
2017-12-21,25.900000,25.900000,25.520000,25.600000,25.600000,4396600
2017-12-22,25.629999,25.709999,25.510000,25.670000,25.670000,2934500
